Sioux City,Council Bluffs,94.3
Sioux City,Fort Dodge,118
Council Bluffs,Des Moines,128
Fort Dodge,Mason City,93.8
Fort Dodge,Waterloo,100
Fort Dodge,Des Moines,96.4
Mason City,Waterloo,80.4
Des Moines,Iowa City,114
Des Moines,Mason City,121
Des Moines,Waterloo,111
Des Moines,Cedar Rapids,128
Waterloo,Dubuque,91.1
Waterloo,Cedar Rapids,54.5
Cedar Rapids,Dubuque,73.5
Cedar Rapids,Iowa City,28.2
Iowa City,Davenport,56.9
Dubuque,Davenport,71.4
